Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
FIESTAS PATRONALES SAN LORENZO DE ORO,08/10/2013,08/11/2013,Torneo Abierto,Arauquita ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
FIESTAS PATRONALES DE TAME,08/17/2013,08/18/2013,Torneo Abierto,Tame ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
CANOERO DE ORO,08/17/2013,08/18/2013,Torneo Abierto,Puerto Lopez ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
YURUPARI DE ORO,08/18/2013,08/19/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
CAMPEONATO MUNDIAL DE COLEO,09/01/2013,09/30/2013,Campeonato Mundial,Sin Definir,VENEZUELA,,FEDERACIÓN COLOMBIANA DE COLEO
VII COPA FEDERACION,09/07/2013,09/07/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
CAMPEONATO NACIONAL CATEGORIA SUB-18,09/07/2013,09/07/2013,Campeonato Nacional,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
LA LORA DE ORO,09/14/2013,09/14/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
GAVAN DE ORO,09/14/2013,09/15/2013,Torneo Abierto,Puerto Rondon ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
COPA ENELAR,09/21/2013,09/22/2013,Torneo Abierto,Arauca ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
VIRGEN DE LAS MERCEDES,09/28/2013,09/29/2013,Torneo Abierto,Tame ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
III VALIDA DEPARTAMENTAL,09/28/2013,09/29/2013,Evento de Preparacion Deportiva,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
CAMPEONATO NACIONAL CATEGORIA ELITE,09/28/2013,09/29/2013,Campeonato Nacional,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
CAMPEONATO NACIONAL FEMENINO,09/28/2013,09/29/2013,Campeonato Nacional,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
COPA AGROMART,10/05/2013,10/05/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
EL FRENO DE ORO,10/05/2013,10/06/2013,Torneo Abierto,Fortul ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
XIV SAN MARTIN DE ORO,10/06/2013,10/06/2013,Torneo Abierto,San Martin ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
PREMUNDIALITO,10/06/2013,10/06/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
COPA EL REJO,10/12/2013,10/13/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
FESTIVAL DEL RETORNO,10/12/2013,10/14/2013,Torneo Abierto,Acacias ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
XVII ENCUENTRO MUNDIAL DE COLEO,10/12/2013,10/14/2013,Campeonato Mundial,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
COPA CABRESTERO,10/26/2013,10/27/2013,Torneo Abierto,Arauca ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
COPA COLONIZADORES,11/02/2013,11/03/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
IX GHIRIGUARE DE ORO,11/02/2013,11/03/2013,Torneo Abierto,Puerto Gaitan ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
XLVII ESTRIBO DE ORO,11/09/2013,11/11/2013,Torneo Abierto,San Martin ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
TAPARAS DE ORO,11/09/2013,11/10/2013,Torneo Abierto,Saravena ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
EL BONGUERO DE ORO,11/16/2013,11/17/2013,Torneo Abierto,Arauquita ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
II COPA NACIONAL AGUILA DE ORO,11/16/2013,11/17/2013,Torneo Abierto,Puerto Lopez ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
FIESTAS DE ARAUCA,12/05/2013,12/08/2013,Torneo Abierto,Arauca ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
II FESTIVAL LLANERO,12/07/2013,12/08/2013,Torneo Abierto,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
PETROLITO DE ORO,12/07/2013,12/08/2013,Torneo Abierto,Castilla La Nueva ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE COLEO
COPA GUAVIARE,12/14/2013,12/15/2013,Torneo Abierto,San Jose Del Guaviare ,COLOMBIA, Guaviare,FEDERACIÓN COLOMBIANA DE COLEO
FIESTAS DE RONDON,12/14/2013,12/15/2013,Torneo Abierto,Puerto Rondon ,COLOMBIA, Arauca,FEDERACIÓN COLOMBIANA DE COLEO
CAMPEONATO MUNDIAL DE COLEO,12/14/2013,12/15/2013,Campeonato Mundial,Panamá,PANAMA,,FEDERACIÓN COLOMBIANA DE COLEO
4TA VALIDA CIRCUITO ACCURACY - COPA CERINZA PARAPENTE ACCURACY,01/01/2013,12/31/2013,Campeonato Nacional,Pachavita ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COLOMBIA ONLINE - XCOLOMBIA 2013,01/01/2013,12/31/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL ACROBACIA,01/01/2013,12/31/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
NOVATOS Y SUPER NOVATOS,01/01/2013,12/31/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL DE PARAPENTE - 1ER VALIDA CIRCUITO NACIONAL,01/05/2013,01/12/2013,Campeonato Nacional,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 WORLD CUP SUPERFINAL,01/15/2013,01/26/2013,Campeonato Mundial,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
HOMBRES PÁJARO COLOMBIA 2013,01/27/2013,02/02/2013,Campeonato Mundial,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAPACITACION EN MANEJO DE SOFTWARE Y PROGRAMAS DE CLASIFICACION,02/08/2013,02/10/2013,Evento Académico,Sopetran ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2DA VALIDA CIRCUITO NACIONAL - COPA DE OCCIDENTE SOPETRAN,02/08/2013,02/10/2013,Campeonato Nacional,Sopetran ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 PARAGLIDING WORLD CUP AFRICA,02/23/2013,03/02/2013,Copa Mundo,Porterville,SUDAFRICA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENTRENAMIENTO SELECCIÓN COLOMBIA DE PARACAIDISMO,02/27/2013,03/08/2013,Evento de Preparacion Deportiva,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO ABIERTO DE PARACAIDISMO FLCPA DE CANOPY PILOTING,03/02/2013,03/05/2013,Evento de Preparacion Deportiva,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENCUENTRO RECREATIVO - APIA 2013,03/23/2013,03/25/2013,Campeonato Nacional,Apia ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO ABIERTO DE VUELO RELATIVO Y DE PRECISIÓN DE ATERRIZAJE,03/28/2013,03/31/2013,Campeonato Nacional,Flandes ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENTRENAMIENTO SELECCIÓN COLOMBIA DE PARACAIDISMO,03/29/2013,03/31/2013,Evento de Preparacion Deportiva,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENTRENAMIENTO SELECCIÓN COLOMBIA DE PARACAIDISMO,04/12/2013,04/14/2013,Evento de Preparacion Deportiva,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 WORLD CUP BRAZIL,04/13/2013,04/20/2013,Copa Mundo,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ROB KELLS MEET,04/13/2013,04/19/2013,Campeonato Norteamericano,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COMPETENCIA DE VUELO RELATIVO 16 WAY DE AMERICA LATINA,04/18/2013,04/21/2013,Campeonato Latinoamericano,Mexico,MEXICO,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
FLYTEC RACE AND RALLY,04/25/2013,04/28/2013,Concentracion Internacional,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
TOPGUN DE AEROMODELISMO,05/01/2013,05/05/2013,Open Internacional,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENTRENAMIENTO SELECCIÓN COLOMBIA DE PARACAIDISMO,05/01/2013,05/07/2013,Evento de Preparacion Deportiva,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 USPA CP Nationals,05/08/2013,05/10/2013,Campeonato Norteamericano,Florida,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
1RA VALIDA CIRCUITO ACCURACY - COPA RUITOQUE PARAPENTE ACCURACY,05/11/2013,05/13/2013,Campeonato Nacional,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENTRENAMIENTO SELECCION COLOMBIA DE PARAPENTE,06/06/2013,06/10/2013,Concentracion Internacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
3RA VALIDA CIRCUITO NACIONAL,06/07/2013,06/10/2013,Campeonato Nacional,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2DO ENCUENTRO DE PARAMOTOR,06/07/2013,06/09/2013,Campeonato Nacional,Villavicencio ,COLOMBIA, Meta,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL F3N/F3C,06/08/2013,06/09/2013,Campeonato Nacional,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2DA VALIDA ENTRENAMIENTO WORLD GAMES-COPA CIUDAD DE CALI PARAPENTE ACCURACY,06/08/2013,06/10/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 WORLD CUP FRANCE,06/22/2013,06/29/2013,Copa Mundo,Val Louron,FRANCIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
TORNEO IMAC Y HELICOPTEROS,06/28/2013,07/01/2013,Torneo Abierto,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COPA IYOMA 2013,06/28/2013,07/01/2013,Campeonato Nacional,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL DE PARACAIDISMO CANOPY PILOTING,06/28/2013,07/01/2013,Campeonato Nacional,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL DE PARACAIDISMO EN CAIDA LIBRE Y PARACAIDISMO MILITAR INTER FUERZAS 2013,06/28/2013,07/01/2013,Campeonato Nacional,Melgar ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
3RA VALIDA CIRCUITO ACCURACY -COPA RUITOQUE PARAPENTE ACCURACY,06/29/2013,07/01/2013,Campeonato Nacional,Ricaurte ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ENCUENTRO NACIONAL ANSERMANUEVO,07/06/2013,07/08/2013,Campeonato Nacional,Ansermanuevo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
13TH WORLD PARAGLIDING CHAMPIONSHIP,07/13/2013,07/26/2013,Campeonato Mundial,Sopot,BULGARIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
4TA VALIDA CIRCUITO NACIONAL,07/19/2013,07/21/2013,Campeonato Nacional,Apia ,COLOMBIA, Risaralda,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
WORLD GAMES CALI 2013,07/25/2013,08/04/2013,Campeonato Mundial,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
PARANOIA ACROBATIXXX,08/02/2013,08/04/2013,Juegos Olímpicos de Verano,Zell Am See,AUSTRALIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL DE ALA DELTA,08/04/2013,08/10/2013,Campeonato Nacional,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO LATINOAMERICANO DE PARACAIDISMO,08/05/2013,08/11/2013,Campeonato Latinoamericano,Paraguay ,PARAGUAY,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 WORLD CUP SERBIA,08/10/2013,08/17/2013,Copa Mundo,Raska Kopaonik,SERBIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
28O. CAMPEONATO MUNDIAL FAI PARA CATEGORIA F3A,08/15/2013,08/25/2013,Campeonato Mundial,Henley On Klip,SUDAFRICA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO SUIZO,08/16/2013,08/19/2013,Juegos Olímpicos de Verano,Wessen,SUIZA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
5TA VALIDA CIRCUITO NACIONAL,08/16/2013,08/19/2013,Campeonato Nacional,El Cerrito ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL F4C,08/17/2013,08/19/2013,Campeonato Nacional,Melgar ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO NACIONAL F3F,08/17/2013,08/18/2013,Campeonato Nacional,Bucaramanga ,COLOMBIA, Santander,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COPA COLOMBIA,08/18/2013,08/20/2013,Campeonato Nacional,Flandes ,COLOMBIA, Tolima,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
7TH WORLD PARAGLIDING ACCURACY CHAMPIONSHIP,08/18/2013,08/25/2013,Clasificatorio al Mundial,"Bjelasnica, Sarajevo",BOSNIA AND HERZEGOVINA ,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO BRASILERO DE ALA DELTA,08/25/2013,08/31/2013,Open Internacional,Brasilia,BRASIL,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO FRANCES,08/30/2013,09/02/2013,Juegos Olímpicos de Verano,Annecy,FRANCIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CAMPEONATO MUNDIAL EMPURIABRAVA ESPAÑA 2013,09/01/2013,09/30/2013,Campeonato Mundial,España,ESPAÑA, ,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 WORLD CUP TURKEY,09/01/2013,09/07/2013,Copa Mundo,Herzincan,TURQUIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
2013 BELGIAN PARAGLIDING OPEN,09/03/2013,09/09/2013,Open Internacional,Disentis,SUIZA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
SANTA CRUZ FLATS RACE,09/15/2013,09/22/2013,Open Internacional,Arizona,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COPA ICARO,09/20/2013,09/23/2013,Juegos Olímpicos de Verano,St. Hilaire,FRANCIA,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
USA NATIONALS FORMATION SKYDIVING 4 WAY,09/24/2013,09/29/2013,Campeonato Norteamericano,Chicago,ESTADOS UNIDOS,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
COPA TOCAIMA,10/11/2013,10/14/2013,Campeonato Nacional,Tocaima ,COLOMBIA, Cundinamarca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
TORNEO SEMILLEROS ACROBACIA AVIONES Y HELICOPTEROS,10/11/2013,10/14/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CANOA OPEN 2013,10/31/2013,11/02/2013,Campeonato Latinoamericano,Manabi,ECUADOR,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
10° ENCUETRO DE PARAPENTE PACHAVITA 2013,11/09/2013,11/11/2013,Campeonato Nacional,Pachavita ,COLOMBIA, Boyacá,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ACROLATINO,11/23/2013,11/25/2013,Campeonato Latinoamericano,Ibarra,ECUADOR,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
WORLD PARAGLIDING SERIES 2013,11/30/2013,12/07/2013,Clasificatorio al Mundial,Roldanillo ,COLOMBIA, Valle del Cauca,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
ACROARICA,12/05/2013,12/08/2013,Campeonato Latinoamericano,Arica,CHILE,,FEDERACIÓN COLOMBIANA DE DEPORTES AÉREOS
CNC y CCN Selectiva Prueba Completa Juegos Bolivarianos,05/10/2013,05/12/2013,Torneo Abierto,Sopo ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
"Concurso Nacional de Salto-Chequeo Camp. Centroemaricano Infantil, Prejuvenil, Juvenil, Jovenes",05/16/2013,05/19/2013,Torneo Abierto,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso de Salto Chequeo Campeonato Centroamericano-Gira de Occidente,05/17/2013,05/19/2013,Torneo Abierto,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Adiestramiento Primer Chequeo Juegos Bolivarianos,05/18/2013,05/19/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Jinetes de Adiestramiento,05/23/2013,05/26/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
"Concurso Nacional de Salto, Chequeo Camp. Centroamericano Infantil-Prejuvenil, Juvenil, Jovenes",05/23/2013,05/26/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso de Salto Chequeo Campeonato Centroamericano-Gira de Occidente,05/24/2013,05/26/2013,Torneo Abierto,Rionegro ,COLOMBIA, Antioquia,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Salto,06/07/2013,06/10/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
CEI 1 y 2 Enduro,06/09/2013,06/09/2013,Torneo Abierto,Boyacá,COLOMBIA,Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica de Prueba Completa,06/11/2013,06/16/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional Combinado y Concurso Completo Nacional,06/14/2013,06/16/2013,Torneo Abierto,Sopo ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI World Jumping Challenge Final,06/19/2013,06/23/2013,Torneo Abierto,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para jinetes y entrenadores de Paraecuestres (adiestramiento),06/19/2013,06/29/2013,Evento de Preparacion Deportiva,La Calera ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Jinetes de Adiestramiento,06/20/2013,06/23/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI Children Jumping Classic y Concurso Interligas de Salto Copa Gob.de Cun I,06/20/2013,06/23/2013,Torneo Abierto,Funza ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Interligas de Adiestramiento Segundo Chequeo Bolivarianos,06/22/2013,06/23/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Interligas de Salto Copa Gob. de Cund II,06/28/2013,07/01/2013,Torneo Abierto,Cota ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Salto Copa Gob. de Cund III,07/04/2013,07/07/2013,Torneo Abierto,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Adiestramiento Chequeo Juegos Bolivarianos,07/05/2013,07/07/2013,Torneo Abierto,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica de Prueba Completa,07/09/2013,07/11/2013,Evento de Preparacion Deportiva,Duitama ,COLOMBIA, Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
"CCI1, CIC y2da Selectiva Juegos Bolivarianos",07/12/2013,07/14/2013,Torneo Abierto,Boyacá,COLOMBIA,Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Internacional de Vaulting CVI,07/12/2013,07/14/2013,Torneo Abierto,Cajica ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI World Jumping Challenge Cat. B y C e Interligas de Salto,07/26/2013,07/28/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Volteadores y Entrenadores FEI Coaching System Vaulting,08/03/2013,08/08/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nal de Salto Selectiva Juegos Bolivarianos,08/08/2013,08/11/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica de Prueba Completa,08/13/2013,08/15/2013,Evento de Preparacion Deportiva,Funza ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nal. de Adiestramiento y Combinado y Concurso Completo Nal. Selectiva Juegos Bolivarianos,08/16/2013,08/18/2013,Torneo Abierto,Funza ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
FEI World Jumping Challenge Cat. A e Interligas de Salto Selectiva Juegos Bolivarianos,08/16/2013,08/19/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Carrera Nacional de Endurance,08/18/2013,08/18/2013,Torneo Abierto,Medellín,COLOMBIA, Antioquia,FEDERACIÓN ECUESTRE DE COLOMBIA
Curso FEI para Jueces de Salto,08/28/2013,08/30/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
CSI-W Concurso Internacional De Salto Calificativa A La Final De La Copa Del Mundo,08/28/2013,09/01/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica para Jinetes de Adiestramiento,08/29/2013,09/01/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Curso FEI para Diseñadores de Pista,08/29/2013,09/03/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Curso FEI para Stewards,09/02/2013,09/04/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
CSI-W Derby e Internacional Infantil de Salto,09/04/2013,09/08/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Selectiva Juegos Bolivarianos y Curso FEI para Jueces de Adiestramiento,09/05/2013,09/08/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Nacional de Adiestramiento Chequeo Juegos Bolivarianos,09/14/2013,09/15/2013,Torneo Abierto,Cota ,COLOMBIA, Cundinamarca,FEDERACIÓN ECUESTRE DE COLOMBIA
"Campeonato Americano de Jovenes y Suramericano Juvenil , prejuvenil e Infantil",09/17/2013,09/22/2013,Campeonato Suramericano,Rosario,ARGENTINA,,FEDERACIÓN ECUESTRE DE COLOMBIA
"Campeonato Centroamericano y del Caribe Infantil, Juvenil y Prejuvenil",09/17/2013,09/22/2013,Campeonato Centroamericano y del Caribe,Caracas,VENEZUELA,,FEDERACIÓN ECUESTRE DE COLOMBIA
Clinica de Prueba Completa,09/18/2013,09/20/2013,Evento de Preparacion Deportiva,Duitama ,COLOMBIA, Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso Interligas de Salto,09/19/2013,09/22/2013,Torneo Abierto,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
Concurso FEI CIC y 1 y 2 y CCI 1 Selectiva Juegos Bolivarianos,09/20/2013,09/22/2013,Torneo Abierto,Boyacá,COLOMBIA,Boyacá,FEDERACIÓN ECUESTRE DE COLOMBIA
Curso FEI Coaching System Level 3,09/22/2013,09/26/2013,Evento de Preparacion Deportiva,Bogotá D.C. ,COLOMBIA, Bogotá D.C.,FEDERACIÓN ECUESTRE DE COLOMBIA
