Subject,Start Date,End Date,Description,Location,País,Territorio,Entidad
2º PARADA REGIONAL DE FORMAION DE ARQUEROS,05/06/2013,05/31/2013,Evento de Preparacion Deportiva,Leticia ,COLOMBIA, Amazonas,FEDERACIÓN ARQUEROS DE COLOMBIA
1ª COPA MUNDO DE TIRO CON ARCO,05/13/2013,05/19/2013,Copa Mundo,Shangai,CHINA,,FEDERACIÓN ARQUEROS DE COLOMBIA
4ª COPA FUNDACION EASTON,05/31/2013,06/03/2013,Campeonato Mundial,Los Angeles,ESTADOS UNIDOS,,FEDERACIÓN ARQUEROS DE COLOMBIA
3ª PARADA REGIONAL DE FORMACION DE ARQUEROS,06/04/2013,06/28/2013,Evento de Preparacion Deportiva,Manizales ,COLOMBIA, Caldas,FEDERACIÓN ARQUEROS DE COLOMBIA
CURSO DE ENTRENADORES MODALIDAD COMPUESTO,06/10/2013,06/16/2013,Evento Académico,Cali ,COLOMBIA, Valle del Cauca,FEDERACIÓN ARQUEROS DE COLOMBIA
2 COPA MUNDO DE TIRO CON ARCO,06/10/2013,06/16/2013,Copa Mundo,Antalya,TURQUIA,,FEDERACIÓN ARQUEROS DE COLOMBIA
4º CAMPEONATO NACIONAL INTERLIGAS,06/28/2013,07/01/2013,Campeonato Nacional,Medellín,COLOMBIA, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA
4 PARADA REGIONAL DE FORMACION DE ARQUEROS,07/02/2013,07/26/2013,Evento de Preparacion Deportiva,Yopal ,COLOMBIA, Casanare,FEDERACIÓN ARQUEROS DE COLOMBIA
CURSO DE JUECES,07/11/2013,07/14/2013,Evento Académico,Medellín,COLOMBIA, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA
3 COPA MUNDO DE TIRO CON ARCO,07/15/2013,07/21/2013,Copa Mundo,Medellín,COLOMBIA, Antioquia,FEDERACIÓN ARQUEROS DE COLOMBIA
